,original_summary,token,Porter_Stemmer,WordNet_Lemmatizer
0,good,['good'],['good'],['good']
1,Jake,['Jake'],['jake'],['Jake']
2,It Does The Job Well,"['It', 'Does', 'The', 'Job', 'Well']","['it', 'doe', 'the', 'job', 'well']","['It', 'Does', 'The', 'Job', 'Well']"
3,GOOD WINDSCREEN FOR THE MONEY,"['GOOD', 'WINDSCREEN', 'FOR', 'THE', 'MONEY']","['good', 'windscreen', 'for', 'the', 'money']","['GOOD', 'WINDSCREEN', 'FOR', 'THE', 'MONEY']"
4,No more pops when I record my vocals.,"['No', 'more', 'pops', 'when', 'I', 'record', 'my', 'vocals', '.']","['no', 'more', 'pop', 'when', 'i', 'record', 'my', 'vocal', '.']","['No', 'more', 'pop', 'when', 'I', 'record', 'my', 'vocal', '.']"
5,The Best Cable,"['The', 'Best', 'Cable']","['the', 'best', 'cabl']","['The', 'Best', 'Cable']"
6,Monster Standard 100 - 21' Instrument Cable,"['Monster', 'Standard', '100', '-', '21', ""'"", 'Instrument', 'Cable']","['monster', 'standard', '100', '-', '21', ""'"", 'instrument', 'cabl']","['Monster', 'Standard', '100', '-', '21', ""'"", 'Instrument', 'Cable']"
7,Didn't fit my 1996 Fender Strat...,"['Did', ""n't"", 'fit', 'my', '1996', 'Fender', 'Strat', '...']","['did', ""n't"", 'fit', 'my', '1996', 'fender', 'strat', '...']","['Did', ""n't"", 'fit', 'my', '1996', 'Fender', 'Strat', '...']"
8,Great cable,"['Great', 'cable']","['great', 'cabl']","['Great', 'cable']"
9,Best Instrument Cables On The Market,"['Best', 'Instrument', 'Cables', 'On', 'The', 'Market']","['best', 'instrument', 'cabl', 'on', 'the', 'market']","['Best', 'Instrument', 'Cables', 'On', 'The', 'Market']"
10,One of the best instrument cables within the brand,"['One', 'of', 'the', 'best', 'instrument', 'cables', 'within', 'the', 'brand']","['one', 'of', 'the', 'best', 'instrument', 'cabl', 'within', 'the', 'brand']","['One', 'of', 'the', 'best', 'instrument', 'cable', 'within', 'the', 'brand']"
11,It works great but I hardly use it.,"['It', 'works', 'great', 'but', 'I', 'hardly', 'use', 'it', '.']","['it', 'work', 'great', 'but', 'i', 'hardli', 'use', 'it', '.']","['It', 'work', 'great', 'but', 'I', 'hardly', 'use', 'it', '.']"
12,HAS TO GET USE TO THE SIZE,"['HAS', 'TO', 'GET', 'USE', 'TO', 'THE', 'SIZE']","['ha', 'to', 'get', 'use', 'to', 'the', 'size']","['HAS', 'TO', 'GET', 'USE', 'TO', 'THE', 'SIZE']"
13,awesome,['awesome'],['awesom'],['awesome']
14,It works!,"['It', 'works', '!']","['it', 'work', '!']","['It', 'work', '!']"
